# freq[/s],z_re[ohm],z_im[ohm]
1.0000000000e-05,3.5873431695e+00,-1.4189471933e-04
1.2589254118e-05,3.5873384519e+00,-1.7806217541e-04
1.5848931925e-05,3.5873310833e+00,-2.2304238227e-04
1.9952623150e-05,3.5873196685e+00,-2.7860499134e-04
2.5118864315e-05,3.5873022066e+00,-3.4654132802e-04
3.1622776602e-05,3.5872759936e+00,-4.2836912632e-04
3.9810717055e-05,3.5872377137e+00,-5.2487159114e-04
5.0118723363e-05,3.5871839308e+00,-6.3557910316e-04
6.3095734448e-05,3.5871121390e+00,-7.5855787086e-04
7.9432823472e-05,3.5870221440e+00,-8.9109642134e-04
1.0000000000e-04,3.5869168826e+00,-1.0316173717e-03
1.2589254118e-04,3.5868015613e+00,-1.1820896740e-03
1.5848931925e-04,3.5866810877e+00,-1.3492173965e-03
1.9952623150e-04,3.5865575233e+00,-1.5432994729e-03
2.5118864315e-04,3.5864295794e+00,-1.7757499645e-03
3.1622776602e-04,3.5862944025e+00,-2.0575830226e-03
3.9810717055e-04,3.5861498861e+00,-2.4003301181e-03
5.0118723363e-04,3.5859953459e+00,-2.8187811882e-03
6.3095734448e-04,3.5858298828e+00,-3.3334464876e-03
7.9432823472e-04,3.5856498624e+00,-3.9711251284e-03
1.0000000000e-03,3.5854475243e+00,-4.7640606909e-03
1.2589254118e-03,3.5852111801e+00,-5.7496243646e-03
1.5848931925e-03,3.5849255211e+00,-6.9718089009e-03
1.9952623150e-03,3.5845701913e+00,-8.4839044019e-03
2.5118864315e-03,3.5841162072e+00,-1.0350579269e-02
3.1622776602e-03,3.5835212734e+00,-1.2648367289e-02
3.9810717055e-03,3.5827246810e+00,-1.5464905168e-02
5.0118723363e-03,3.5816412124e+00,-1.8896993259e-02
6.3095734448e-03,3.5801535216e+00,-2.3046473984e-02
7.9432823472e-03,3.5781027119e+00,-2.8012783695e-02
1.0000000000e-02,3.5752758991e+00,-3.3879249525e-02
1.2589254118e-02,3.5713927627e+00,-4.0684558559e-02
1.5848931925e-02,3.5661063800e+00,-4.8369850518e-02
1.9952623150e-02,3.5590483073e+00,-5.6709402919e-02
2.5118864315e-02,3.5499412892e+00,-6.5267974978e-02
3.1622776602e-02,3.5387561562e+00,-7.3454560961e-02
3.9810717055e-02,3.5258137207e+00,-8.0712882579e-02
5.0118723363e-02,3.5117038822e+00,-8.6772643107e-02
6.3095734448e-02,3.4970097859e+00,-9.1769890019e-02
7.9432823472e-02,3.4820250758e+00,-9.6104750403e-02
1.0000000000e-01,3.4666889068e+00,-1.0013719282e-01
