# time[s],voltage[V]
0.0000000000e+00,-7.6511557122e-01
7.0718675108e-11,-7.6537801750e-01
1.2213589978e-10,-7.6555349665e-01
2.0629182214e-10,-7.6582186554e-01
2.6747882771e-10,-7.6600538502e-01
3.6762520713e-10,-7.6628868693e-01
4.4043834853e-10,-7.6648326815e-01
5.1849860895e-10,-7.6668257770e-01
6.0218411048e-10,-7.6688666048e-01
6.9190022377e-10,-7.6709549193e-01
7.8808153161e-10,-7.6730898275e-01
8.9119393401e-10,-7.6752698100e-01
1.0017369051e-09,-7.6774927264e-01
1.1202459125e-09,-7.6797558131e-01
1.2472950110e-09,-7.6820556761e-01
1.3834996236e-09,-7.6843882848e-01
1.5295195223e-09,-7.6867489659e-01
1.6860620241e-09,-7.6891324032e-01
1.7685141265e-09,-7.6903308195e-01
1.9422792492e-09,-7.6927370320e-01
2.1285663736e-09,-7.6951499533e-01
2.3282778702e-09,-7.6975621177e-01
2.5423811369e-09,-7.6999655171e-01
2.6551509232e-09,-7.7011612927e-01
2.8928095781e-09,-7.7035354852e-01
3.1475945818e-09,-7.7058789258e-01
3.4207401067e-09,-7.7081822532e-01
3.7135692637e-09,-7.7104359433e-01
4.0275005103e-09,-7.7126304408e-01
4.3640545223e-09,-7.7147563076e-01
4.7248615595e-09,-7.7168043861e-01
5.1116693630e-09,-7.7187659758e-01
5.7447678565e-09,-7.7215287906e-01
6.2050729658e-09,-7.7232407810e-01
6.9584664307e-09,-7.7255999164e-01
7.7947473536e-09,-7.7276970288e-01
8.7230349147e-09,-7.7295262795e-01
1.0502633667e-08,-7.7319900474e-01
1.2620373773e-08,-7.7337811700e-01
1.8804466971e-08,-7.7359614425e-01
3.5735339913e-08,-7.7374276672e-01
6.7406312293e-08,-7.7388354846e-01
1.2665018559e-07,-7.7405213477e-01
2.3747206001e-07,-7.7422696206e-01
4.4477599147e-07,-7.7438108025e-01
8.3255972297e-07,-7.7450086199e-01
1.5579498367e-06,-7.7459182352e-01
2.9148680734e-06,-7.7466868697e-01
5.4531258550e-06,-7.7474769978e-01
1.0201203073e-05,-7.7484716767e-01
1.9082979159e-05,-7.7498997727e-01
3.5697272236e-05,-7.7520132864e-01
5.8100469083e-05,-7.7542142152e-01
8.8206917081e-05,-7.7563850071e-01
1.3391372421e-04,-7.7585434105e-01
2.2567198116e-04,-7.7606514798e-01
4.2214365328e-04,-7.7618248893e-01
7.8966450835e-04,-7.7621495790e-01
1.4771507880e-03,-7.7623731726e-01
2.7631659302e-03,-7.7626438816e-01
5.1687920421e-03,-7.7629774201e-01
9.6687678206e-03,-7.7633841981e-01
1.8086444161e-02,-7.7638710575e-01
3.3832590021e-02,-7.7644383463e-01
6.3287406220e-02,-7.7650774066e-01
1.1838572711e-01,-7.7657708864e-01
2.2145291124e-01,-7.7664983469e-01
4.1425088173e-01,-7.7672463984e-01
7.7489969287e-01,-7.7680160128e-01
1.4495310941e+00,-7.7688163737e-01
2.7114998388e+00,-7.7696461414e-01
5.0721446440e+00,-7.7704948977e-01
9.4879781735e+00,-7.7714207632e-01
1.7748257618e+01,-7.7726587229e-01
3.3199976088e+01,-7.7746000369e-01
5.2187831233e+01,-7.7767404433e-01
7.3904415485e+01,-7.7790064887e-01
9.7622808179e+01,-7.7813274893e-01
1.2028514015e+02,-7.7834296061e-01
1.4314050569e+02,-7.7854548273e-01
1.7033861658e+02,-7.7877528393e-01
1.9577334922e+02,-7.7897927496e-01
2.2500596186e+02,-7.7919987491e-01
2.5860354882e+02,-7.7943335468e-01
2.9721788218e+02,-7.7967279615e-01
3.2991744209e+02,-7.7985022783e-01
3.7918026987e+02,-7.8007395247e-01
4.5122826899e+02,-7.8031504141e-01
5.3696610007e+02,-7.8049587586e-01
8.4406977083e+02,-7.8069060687e-01
1.5789209741e+03,-7.8070811271e-01
2.9535371703e+03,-7.8070812699e-01
5.5249008402e+03,-7.8070812699e-01
1.0334906092e+04,-7.8070812699e-01
1.9332525056e+04,-7.8070812699e-01
3.6163514379e+04,-7.8070812699e-01
6.7647643979e+04,-7.8070812699e-01
1.2654200828e+05,-7.8070812699e-01
2.3671008948e+05,-7.8070812699e-01
4.4279103218e+05,-7.8070812699e-01
7.8489744779e+05,-7.8070812699e-01
