# freq[/s],z_re[ohm],z_im[ohm]
1.0000000000e-05,1.5591983178e+01,-5.0690032994e-02
1.2589254118e-05,1.5591648322e+01,-6.3810840560e-02
1.5848931925e-05,1.5591117682e+01,-8.0324815856e-02
1.9952623150e-05,1.5590276844e+01,-1.0110646430e-01
2.5118864315e-05,1.5588944670e+01,-1.2725261281e-01
3.1622776602e-05,1.5586834387e+01,-1.6013597933e-01
3.9810717055e-05,1.5583492637e+01,-2.0146848818e-01
5.0118723363e-05,1.5578203314e+01,-2.5337317305e-01
6.3095734448e-05,1.5569837821e+01,-3.1845884918e-01
7.9432823472e-05,1.5556623327e+01,-3.9988311502e-01
1.0000000000e-04,1.5535789537e+01,-5.0137136594e-01
1.2589254118e-04,1.5503043858e+01,-6.2712416351e-01
1.5848931925e-04,1.5451824502e+01,-7.8148120367e-01
1.9952623150e-04,1.5372320511e+01,-9.6809967791e-01
2.5118864315e-04,1.5250392491e+01,-1.1882407681e+00
3.1622776602e-04,1.5066913144e+01,-1.4375905491e+00
3.9810717055e-04,1.4798868958e+01,-1.7011125178e+00
5.0118723363e-04,1.4424871466e+01,-1.9464367195e+00
6.3095734448e-04,1.3938574897e+01,-2.1195180316e+00
7.9432823472e-04,1.3370269644e+01,-2.1522195319e+00
1.0000000000e-03,1.2803800618e+01,-1.9942293537e+00
1.2589254118e-03,1.2357633889e+01,-1.6638112788e+00
1.5848931925e-03,1.2112443889e+01,-1.2680143103e+00
1.9952623150e-03,1.2042650979e+01,-9.3797800786e-01
2.5118864315e-03,1.2045887316e+01,-7.2886700741e-01
3.1622776602e-03,1.2042575280e+01,-6.0626425880e-01
3.9810717055e-03,1.2018313096e+01,-5.1794608766e-01
5.0118723363e-03,1.1988473610e+01,-4.4129620416e-01
6.3095734448e-03,1.1963182139e+01,-3.7524458897e-01
7.9432823472e-03,1.1943096179e+01,-3.2192932437e-01
1.0000000000e-02,1.1925885341e+01,-2.8093949227e-01
1.2589254118e-02,1.1909694987e+01,-2.5040688295e-01
1.5848931925e-02,1.1893489564e+01,-2.2842103956e-01
1.9952623150e-02,1.1876590092e+01,-2.1346194337e-01
2.5118864315e-02,1.1858519055e+01,-2.0415456522e-01
3.1622776602e-02,1.1837645825e+01,-1.9954925211e-01
3.9810717055e-02,1.1817017845e+01,-1.9932469733e-01
5.0118723363e-02,1.1790033465e+01,-1.9571896463e-01
6.3095734448e-02,1.1761113723e+01,-2.0234365315e-01
7.9432823472e-02,1.1736161611e+01,-1.9974883728e-01
