# freq[/s],z_re[ohm],z_im[ohm]
1.5848931925e+05,3.3228086620e+02,-1.6459587484e+00
1.9952623150e+05,3.3226350212e+02,-2.0395305726e+00
2.5118864315e+05,3.3224558905e+02,-2.5336363142e+00
3.1622776602e+05,3.3221448354e+02,-3.1574268832e+00
3.9810717055e+05,3.3217803296e+02,-3.9445557908e+00
5.0118723363e+05,3.3213101141e+02,-4.9322196689e+00
6.3095734448e+05,3.3206188256e+02,-6.1724132342e+00
7.9432823472e+05,3.3196864351e+02,-7.7310304396e+00
1.0000000000e+06,3.3183629886e+02,-9.6872650593e+00
1.2589254118e+06,3.3164185351e+02,-1.2142964485e+01
1.5848931925e+06,3.3135342864e+02,-1.5226669468e+01
1.9952623150e+06,3.3091630891e+02,-1.9094507317e+01
2.5118864315e+06,3.3024458856e+02,-2.3939544338e+01
3.1622776602e+06,3.2920336506e+02,-2.9992399195e+01
3.9810717055e+06,3.2758371592e+02,-3.7520212234e+01
5.0118723363e+06,3.2506500176e+02,-4.6815788155e+01
6.3095734448e+06,3.2116943855e+02,-5.8164226489e+01
7.9432823472e+06,3.1520734246e+02,-7.1774247480e+01
1.0000000000e+07,3.0623841927e+02,-8.7650403916e+01
1.2589254118e+07,2.9309912664e+02,-1.0539300040e+02
1.5848931925e+07,2.7457430545e+02,-1.2394880027e+02
1.9952623150e+07,2.4980229151e+02,-1.4143677139e+02
2.5118864315e+07,2.1888217039e+02,-1.5527889860e+02
3.1622776602e+07,1.8338875892e+02,-1.6284671951e+02
3.9810717055e+07,1.4630538567e+02,-1.6248776579e+02
5.0118723363e+07,1.1115290956e+02,-1.5431308531e+02
6.3095734448e+07,8.0770232902e+01,-1.4012825265e+02
7.9432823472e+07,5.6547057168e+01,-1.2257573161e+02
1.0000000000e+08,3.8460955780e+01,-1.0414884261e+02
1.2589254118e+08,2.5615618631e+01,-8.6621714749e+01
1.5848931925e+08,1.6815276861e+01,-7.0969541268e+01
1.9952623150e+08,1.0934969191e+01,-5.7553515802e+01
2.5118864315e+08,7.0703251492e+00,-4.6355658479e+01
3.1622776602e+08,4.5563853066e+00,-3.7168723221e+01
3.9810717055e+08,2.9319410316e+00,-2.9714959931e+01
5.0118723363e+08,1.8860159966e+00,-2.3709593612e+01
6.3095734448e+08,1.2109526673e+00,-1.8896493121e+01
7.9432823472e+08,7.8956137491e-01,-1.5038576377e+01
1.0000000000e+09,4.7681352123e-01,-1.1989958830e+01
