# concentration(time[s],x[cm]) [mol/cm3]. cL & cR are not included.
nan,2.6717000248e-09,8.0151000745e-09,1.3358500124e-08,1.8701900174e-08,2.4045300223e-08,2.9388700273e-08,3.4732100323e-08,4.0075500372e-08,4.5418900422e-08,5.0762300472e-08,5.6105700521e-08,6.1449100571e-08,6.6792500621e-08,7.2135900670e-08,7.7479300720e-08,8.2822700769e-08,8.8166100819e-08,9.3509500869e-08,9.8852900918e-08,1.0419630097e-07,1.0953861459e-07,1.1631320789e-07,1.2672384661e-07,1.4272206141e-07,1.6730680432e-07,2.0508661861e-07,2.6314353518e-07,3.5236063760e-07,4.8946215514e-07,7.0014851013e-07,1.0239140014e-06,1.5214502245e-06,2.2860230403e-06,3.4609557659e-06,5.2664959068e-06,8.0411017455e-06,1.2304888180e-05,1.8857125081e-05,2.8926064757e-05,4.4399184507e-05,6.8177004467e-05,1.0471680583e-04,1.6086817233e-04,2.4715698189e-04,3.7975853938e-04,5.8352972525e-04,8.9666855238e-04,1.3778745906e-03,2.1173525192e-03,3.2537214825e-03,5.0000000000e-03,6.7462785175e-03,7.8826474808e-03,8.6221254094e-03,9.1033314476e-03,9.4164702748e-03,9.6202414606e-03,9.7528430181e-03,9.8391318277e-03,9.8952831942e-03,9.9318229955e-03,9.9556008155e-03,9.9710739352e-03,9.9811428749e-03,9.9876951118e-03,9.9919588983e-03,9.9947335041e-03,9.9965390442e-03,9.9977139770e-03,9.9984785498e-03,9.9989760860e-03,9.9992998515e-03,9.9995105378e-03,9.9996476394e-03,9.9997368565e-03,9.9997949134e-03,9.9998326932e-03,9.9998572779e-03,9.9998732762e-03,9.9998836868e-03,9.9998904614e-03,9.9998958037e-03,9.9999011471e-03,9.9999064905e-03,9.9999118339e-03,9.9999171773e-03,9.9999225207e-03,9.9999278641e-03,9.9999332075e-03,9.9999385509e-03,9.9999438943e-03,9.9999492377e-03,9.9999545811e-03,9.9999599245e-03,9.9999652679e-03,9.9999706113e-03,9.9999759547e-03,9.9999812981e-03,9.9999866415e-03,9.9999919849e-03,9.9999973283e-03
0.0000000000e+00,3.1898976299e-03,3.2109784442e-03,3.2283687092e-03,3.2426919551e-03,3.2544738337e-03,3.2641549463e-03,3.2721029114e-03,3.2786233031e-03,3.2839693505e-03,3.2883504013e-03,3.2919391613e-03,3.2948778825e-03,3.2972835705e-03,3.2992523591e-03,3.3008631615e-03,3.3021806946e-03,3.3032580074e-03,3.3041385372e-03,3.3048578443e-03,3.3054450048e-03,3.3059237665e-03,3.3064182584e-03,3.3069717191e-03,3.3074930319e-03,3.3078701295e-03,3.3080540927e-03,3.3081050116e-03,3.3081097294e-03,3.3081057220e-03,3.3080987839e-03,3.3080880853e-03,3.3080716432e-03,3.3080463652e-03,3.3080075026e-03,3.3079477562e-03,3.3078559025e-03,3.3077146839e-03,3.3074975664e-03,3.3071637455e-03,3.3066504638e-03,3.3058611784e-03,3.3046473206e-03,3.3027801388e-03,3.2999071394e-03,3.2954844808e-03,3.2886715462e-03,3.2781653926e-03,3.2619382746e-03,3.2368162670e-03,3.1977934399e-03,3.1369072250e-03,3.0750263480e-03,3.0342978253e-03,3.0076289862e-03,2.9902154159e-03,2.9788628841e-03,2.9714683510e-03,2.9666543959e-03,2.9635214215e-03,2.9614828415e-03,2.9601565282e-03,2.9592936862e-03,2.9587323861e-03,2.9583672579e-03,2.9581297453e-03,2.9579752474e-03,2.9578747501e-03,2.9578093794e-03,2.9577668575e-03,2.9577391987e-03,2.9577212068e-03,2.9577095033e-03,2.9577019138e-03,2.9576975884e-03,2.9577030750e-03,2.9577571380e-03,2.9579418899e-03,2.9583051852e-03,2.9587933154e-03,2.9593019941e-03,2.9597510798e-03,2.9601825811e-03,2.9607078586e-03,2.9613466986e-03,2.9621231914e-03,2.9630666520e-03,2.9642127374e-03,2.9656048292e-03,2.9672957154e-03,2.9693496592e-03,2.9718449250e-03,2.9748769064e-03,2.9785619740e-03,2.9830422422e-03,2.9884914933e-03,2.9951225908e-03,3.0031967587e-03,3.0130353528e-03,3.0250348316e-03,3.0396859987e-03,3.0575989899e-03
8.1590080090e-11,3.1897023580e-03,3.2109325583e-03,3.2283815871e-03,3.2427222330e-03,3.2545057646e-03,3.2641835712e-03,3.2721272109e-03,3.2786435143e-03,3.2839860270e-03,3.2883641150e-03,3.2919504204e-03,3.2948871182e-03,3.2972911421e-03,3.2992585642e-03,3.3008682457e-03,3.3021848607e-03,3.3032614237e-03,3.3041413462e-03,3.3048601731e-03,3.3054469790e-03,3.3059254360e-03,3.3064195163e-03,3.3069725145e-03,3.3074934366e-03,3.3078702799e-03,3.3080541281e-03,3.3081050161e-03,3.3081097297e-03,3.3081057220e-03,3.3080987839e-03,3.3080880853e-03,3.3080716432e-03,3.3080463652e-03,3.3080075026e-03,3.3079477562e-03,3.3078559025e-03,3.3077146839e-03,3.3074975664e-03,3.3071637455e-03,3.3066504638e-03,3.3058611784e-03,3.3046473206e-03,3.3027801388e-03,3.2999071394e-03,3.2954844808e-03,3.2886715462e-03,3.2781653926e-03,3.2619382746e-03,3.2368162670e-03,3.1977934399e-03,3.1369072250e-03,3.0750263480e-03,3.0342978253e-03,3.0076289862e-03,2.9902154159e-03,2.9788628841e-03,2.9714683510e-03,2.9666543959e-03,2.9635214215e-03,2.9614828415e-03,2.9601565282e-03,2.9592936862e-03,2.9587323861e-03,2.9583672579e-03,2.9581297453e-03,2.9579752474e-03,2.9578747501e-03,2.9578093794e-03,2.9577668575e-03,2.9577391987e-03,2.9577212068e-03,2.9577095033e-03,2.9577019138e-03,2.9576975881e-03,2.9577030703e-03,2.9577571033e-03,2.9579417493e-03,2.9583048195e-03,2.9587926120e-03,2.9593008962e-03,2.9597496349e-03,2.9601808868e-03,2.9607058766e-03,2.9613443248e-03,2.9621203225e-03,2.9630631739e-03,2.9642085155e-03,2.9655997013e-03,2.9672894842e-03,2.9693420840e-03,2.9718357121e-03,2.9748656980e-03,2.9785483396e-03,2.9830256819e-03,2.9884714945e-03,2.9950988592e-03,3.0031699858e-03,3.0130094683e-03,3.0250228759e-03,3.0397231226e-03,3.0577639503e-03
1.2686802736e-10,3.1896414107e-03,3.2108965643e-03,3.2283712772e-03,3.2427276549e-03,3.2545178812e-03,3.2641971356e-03,3.2721398851e-03,3.2786545268e-03,3.2839952941e-03,3.2883718019e-03,3.2919567553e-03,3.2948923233e-03,3.2972954127e-03,3.2992620657e-03,3.3008711159e-03,3.3021872142e-03,3.3032633563e-03,3.3041429386e-03,3.3048614929e-03,3.3054480793e-03,3.3059263508e-03,3.3064202225e-03,3.3069729699e-03,3.3074936679e-03,3.3078703654e-03,3.3080541481e-03,3.3081050187e-03,3.3081097298e-03,3.3081057220e-03,3.3080987839e-03,3.3080880853e-03,3.3080716432e-03,3.3080463652e-03,3.3080075026e-03,3.3079477562e-03,3.3078559025e-03,3.3077146839e-03,3.3074975664e-03,3.3071637455e-03,3.3066504638e-03,3.3058611784e-03,3.3046473206e-03,3.3027801388e-03,3.2999071394e-03,3.2954844808e-03,3.2886715462e-03,3.2781653926e-03,3.2619382746e-03,3.2368162670e-03,3.1977934399e-03,3.1369072250e-03,3.0750263480e-03,3.0342978253e-03,3.0076289862e-03,2.9902154159e-03,2.9788628841e-03,2.9714683510e-03,2.9666543959e-03,2.9635214215e-03,2.9614828415e-03,2.9601565282e-03,2.9592936862e-03,2.9587323861e-03,2.9583672579e-03,2.9581297453e-03,2.9579752474e-03,2.9578747501e-03,2.9578093794e-03,2.9577668575e-03,2.9577391987e-03,2.9577212068e-03,2.9577095033e-03,2.9577019138e-03,2.9576975879e-03,2.9577030677e-03,2.9577570839e-03,2.9579416705e-03,2.9583046134e-03,2.9587922149e-03,2.9593002885e-03,2.9597488550e-03,2.9601799558e-03,2.9607047683e-03,2.9613429969e-03,2.9621187211e-03,2.9630612349e-03,2.9642061631e-03,2.9655968445e-03,2.9672860129e-03,2.9693378650e-03,2.9718305856e-03,2.9748594785e-03,2.9785408291e-03,2.9830167223e-03,2.9884611149e-03,2.9950876357e-03,3.0031597801e-03,3.0130045885e-03,3.0250309196e-03,3.0397527231e-03,3.0578150370e-03
2.0100629269e-10,3.1895697150e-03,3.2108452743e-03,3.2283470832e-03,3.2427255074e-03,3.2545289713e-03,3.2642140240e-03,3.2721579163e-03,3.2786713650e-03,3.2840100423e-03,3.2883843042e-03,3.2919671766e-03,3.2949009357e-03,3.2973024994e-03,3.2992678849e-03,3.3008758905e-03,3.3021911325e-03,3.3032665760e-03,3.3041455910e-03,3.3048636859e-03,3.3054498971e-03,3.3059278555e-03,3.3064213890e-03,3.3069737331e-03,3.3074940574e-03,3.3078705089e-03,3.3080541816e-03,3.3081050229e-03,3.3081097301e-03,3.3081057220e-03,3.3080987839e-03,3.3080880853e-03,3.3080716432e-03,3.3080463652e-03,3.3080075026e-03,3.3079477562e-03,3.3078559025e-03,3.3077146839e-03,3.3074975664e-03,3.3071637455e-03,3.3066504638e-03,3.3058611784e-03,3.3046473206e-03,3.3027801388e-03,3.2999071394e-03,3.2954844808e-03,3.2886715462e-03,3.2781653926e-03,3.2619382746e-03,3.2368162670e-03,3.1977934399e-03,3.1369072250e-03,3.0750263480e-03,3.0342978253e-03,3.0076289862e-03,2.9902154159e-03,2.9788628841e-03,2.9714683510e-03,2.9666543959e-03,2.9635214215e-03,2.9614828415e-03,2.9601565282e-03,2.9592936862e-03,2.9587323861e-03,2.9583672579e-03,2.9581297453e-03,2.9579752474e-03,2.9578747501e-03,2.9578093794e-03,2.9577668575e-03,2.9577391987e-03,2.9577212068e-03,2.9577095033e-03,2.9577019138e-03,2.9576975876e-03,2.9577030633e-03,2.9577570520e-03,2.9579415402e-03,2.9583042716e-03,2.9587915590e-03,2.9592992991e-03,2.9597475902e-03,2.9601784388e-03,2.9607029513e-03,2.9613408142e-03,2.9621160881e-03,2.9630580483e-03,2.9642022987e-03,2.9655921534e-03,2.9672803173e-03,2.9693309559e-03,2.9718222285e-03,2.9748494387e-03,2.9785289448e-03,2.9830030740e-03,2.9884463681e-03,2.9950736252e-03,3.0031502727e-03,3.0130057426e-03,3.0250502195e-03,3.0397947762e-03,3.0578747833e-03
2.5493183208e-10,3.1895302317e-03,3.2108140770e-03,3.2283285688e-03,3.2427193346e-03,3.2545319496e-03,3.2642223511e-03,3.2721685058e-03,3.2786822204e-03,3.2840201019e-03,3.2883931316e-03,3.2919746888e-03,3.2949072188e-03,3.2973077046e-03,3.2992721752e-03,3.3008794181e-03,3.3021940310e-03,3.3032689591e-03,3.3041475535e-03,3.3048653053e-03,3.3054512352e-03,3.3059289606e-03,3.3064222466e-03,3.3069743001e-03,3.3074943487e-03,3.3078706159e-03,3.3080542066e-03,3.3081050261e-03,3.3081097303e-03,3.3081057220e-03,3.3080987839e-03,3.3080880853e-03,3.3080716432e-03,3.3080463652e-03,3.3080075026e-03,3.3079477562e-03,3.3078559025e-03,3.3077146839e-03,3.3074975664e-03,3.3071637455e-03,3.3066504638e-03,3.3058611784e-03,3.3046473206e-03,3.3027801388e-03,3.2999071394e-03,3.2954844808e-03,3.2886715462e-03,3.2781653926e-03,3.2619382746e-03,3.2368162670e-03,3.1977934399e-03,3.1369072250e-03,3.0750263480e-03,3.0342978253e-03,3.0076289862e-03,2.9902154159e-03,2.9788628841e-03,2.9714683510e-03,2.9666543959e-03,2.9635214215e-03,2.9614828415e-03,2.9601565282e-03,2.9592936862e-03,2.9587323861e-03,2.9583672579e-03,2.9581297453e-03,2.9579752474e-03,2.9578747501e-03,2.9578093794e-03,2.9577668575e-03,2.9577391987e-03,2.9577212068e-03,2.9577095033e-03,2.9577019138e-03,2.9576975874e-03,2.9577030602e-03,2.9577570286e-03,2.9579414446e-03,2.9583040200e-03,2.9587910793e-03,2.9592985830e-03,2.9597466758e-03,2.9601773391e-03,2.9607016296e-03,2.9613392228e-03,2.9621141669e-03,2.9630557232e-03,2.9641994807e-03,2.9655887367e-03,2.9672761797e-03,2.9693259632e-03,2.9718162513e-03,2.9748423919e-03,2.9785208708e-03,2.9829942914e-03,2.9884376988e-03,2.9950666614e-03,3.0031475308e-03,3.0130103938e-03,3.0250650265e-03,3.0398202376e-03,3.0579074894e-03
3.4322969424e-10,3.1894793204e-03,3.2107716422e-03,3.2283000448e-03,3.2427058253e-03,3.2545311443e-03,3.2642303606e-03,3.2721814417e-03,3.2786970441e-03,3.2840348282e-03,3.2884066721e-03,3.2919865801e-03,3.2949173732e-03,3.2973162292e-03,3.2992792593e-03,3.3008852719e-03,3.3021988545e-03,3.3032729303e-03,3.3041508242e-03,3.3048680015e-03,3.3054534593e-03,3.3059307949e-03,3.3064236705e-03,3.3069752480e-03,3.3074948400e-03,3.3078707964e-03,3.3080542485e-03,3.3081050314e-03,3.3081097306e-03,3.3081057220e-03,3.3080987839e-03,3.3080880853e-03,3.3080716432e-03,3.3080463652e-03,3.3080075026e-03,3.3079477562e-03,3.3078559025e-03,3.3077146839e-03,3.3074975664e-03,3.3071637455e-03,3.3066504638e-03,3.3058611784e-03,3.3046473206e-03,3.3027801388e-03,3.2999071394e-03,3.2954844808e-03,3.2886715462e-03,3.2781653926e-03,3.2619382746e-03,3.2368162670e-03,3.1977934399e-03,3.1369072250e-03,3.0750263480e-03,3.0342978253e-03,3.0076289862e-03,2.9902154159e-03,2.9788628841e-03,2.9714683510e-03,2.9666543959e-03,2.9635214215e-03,2.9614828415e-03,2.9601565282e-03,2.9592936862e-03,2.9587323861e-03,2.9583672579e-03,2.9581297453e-03,2.9579752474e-03,2.9578747501e-03,2.9578093794e-03,2.9577668575e-03,2.9577391987e-03,2.9577212068e-03,2.9577095033e-03,2.9577019138e-03,2.9576975871e-03,2.9577030550e-03,2.9577569901e-03,2.9579412867e-03,2.9583036038e-03,2.9587902921e-03,2.9592974157e-03,2.9597451851e-03,2.9601755434e-03,2.9606994664e-03,2.9613366138e-03,2.9621110149e-03,2.9630519101e-03,2.9641948665e-03,2.9655831613e-03,2.9672694710e-03,2.9693179591e-03,2.9718068465e-03,2.9748316265e-03,2.9785090758e-03,2.9829822958e-03,2.9884270623e-03,2.9950598251e-03,3.0031476833e-03,3.0130208095e-03,3.0250877852e-03,3.0398546875e-03,3.0579494121e-03
4.0745442114e-10,3.1894495656e-03,3.2107459397e-03,3.2282812845e-03,3.2426951150e-03,3.2545279204e-03,3.2642329934e-03,3.2721879402e-03,3.2787055834e-03,3.2840440141e-03,3.2884155897e-03,3.2919947206e-03,3.2949245187e-03,3.2973223439e-03,3.2992844074e-03,3.3008895622e-03,3.3022024086e-03,3.3032758652e-03,3.3041532445e-03,3.3048699968e-03,3.3054551042e-03,3.3059321506e-03,3.3064247232e-03,3.3069759521e-03,3.3074952081e-03,3.3078709317e-03,3.3080542798e-03,3.3081050354e-03,3.3081097308e-03,3.3081057220e-03,3.3080987839e-03,3.3080880853e-03,3.3080716432e-03,3.3080463652e-03,3.3080075026e-03,3.3079477562e-03,3.3078559025e-03,3.3077146839e-03,3.3074975664e-03,3.3071637455e-03,3.3066504638e-03,3.3058611784e-03,3.3046473206e-03,3.3027801388e-03,3.2999071394e-03,3.2954844808e-03,3.2886715462e-03,3.2781653926e-03,3.2619382746e-03,3.2368162670e-03,3.1977934399e-03,3.1369072250e-03,3.0750263480e-03,3.0342978253e-03,3.0076289862e-03,2.9902154159e-03,2.9788628841e-03,2.9714683510e-03,2.9666543959e-03,2.9635214215e-03,2.9614828415e-03,2.9601565282e-03,2.9592936862e-03,2.9587323861e-03,2.9583672579e-03,2.9581297453e-03,2.9579752474e-03,2.9578747501e-03,2.9578093794e-03,2.9577668575e-03,2.9577391987e-03,2.9577212068e-03,2.9577095033e-03,2.9577019138e-03,2.9576975869e-03,2.9577030512e-03,2.9577569619e-03,2.9579411708e-03,2.9583032986e-03,2.9587897193e-03,2.9592965700e-03,2.9597441047e-03,2.9601742403e-03,2.9606978943e-03,2.9613347158e-03,2.9621087218e-03,2.9630491401e-03,2.9641915263e-03,2.9655791516e-03,2.9672646987e-03,2.9693123621e-03,2.9718004361e-03,2.9748245541e-03,2.9785017222e-03,2.9829753693e-03,2.9884216674e-03,2.9950574356e-03,3.0031499419e-03,3.0130291093e-03,3.0251026937e-03,3.0398754340e-03,3.0579737623e-03
4.7633001771e-10,3.1894224546e-03,3.2107220547e-03,3.2282630323e-03,3.2426836514e-03,3.2545231186e-03,3.2642337783e-03,3.2721927702e-03,3.2787128811e-03,3.2840524446e-03,3.2884241758e-03,3.2920028399e-03,3.2949318371e-03,3.2973287319e-03,3.2992898639e-03,3.3008941564e-03,3.3022062411e-03,3.3032790441e-03,3.3041558729e-03,3.3048721664e-03,3.3054568936e-03,3.3059336256e-03,3.3064258690e-03,3.3069767206e-03,3.3074956124e-03,3.3078710808e-03,3.3080543143e-03,3.3081050397e-03,3.3081097311e-03,3.3081057220e-03,3.3080987839e-03,3.3080880853e-03,3.3080716432e-03,3.3080463652e-03,3.3080075026e-03,3.3079477562e-03,3.3078559025e-03,3.3077146839e-03,3.3074975664e-03,3.3071637455e-03,3.3066504638e-03,3.3058611784e-03,3.3046473206e-03,3.3027801388e-03,3.2999071394e-03,3.2954844808e-03,3.2886715462e-03,3.2781653926e-03,3.2619382746e-03,3.2368162670e-03,3.1977934399e-03,3.1369072250e-03,3.0750263480e-03,3.0342978253e-03,3.0076289862e-03,2.9902154159e-03,2.9788628841e-03,2.9714683510e-03,2.9666543959e-03,2.9635214215e-03,2.9614828415e-03,2.9601565282e-03,2.9592936862e-03,2.9587323861e-03,2.9583672579e-03,2.9581297453e-03,2.9579752474e-03,2.9578747501e-03,2.9578093794e-03,2.9577668575e-03,2.9577391987e-03,2.9577212068e-03,2.9577095033e-03,2.9577019138e-03,2.9576975866e-03,2.9577030471e-03,2.9577569316e-03,2.9579410458e-03,2.9583029698e-03,2.9587891058e-03,2.9592956660e-03,2.9597429493e-03,2.9601728456e-03,2.9606962105e-03,2.9613326827e-03,2.9621062682e-03,2.9630461845e-03,2.9641879809e-03,2.9655749314e-03,2.9672597396e-03,2.9693066510e-03,2.9717940569e-03,2.9748177503e-03,2.9784949671e-03,2.9829694251e-03,2.9884175962e-03,2.9950565162e-03,3.0031534544e-03,3.0130379901e-03,3.0251171412e-03,3.0398946212e-03,3.0579958375e-03
5.5019327929e-10,3.1893975721e-03,3.2106998006e-03,3.2282454153e-03,3.2426717847e-03,3.2545171337e-03,3.2642330021e-03,3.2721960435e-03,3.2787188898e-03,3.2840599728e-03,3.2884322491e-03,3.2920107692e-03,3.2949391966e-03,3.2973353039e-03,3.2992955767e-03,3.3008990302e-03,3.3022103459e-03,3.3032824718e-03,3.3041587195e-03,3.3048745225e-03,3.3054588397e-03,3.3059352314e-03,3.3064271175e-03,3.3069775601e-03,3.3074960569e-03,3.3078712452e-03,3.3080543522e-03,3.3081050445e-03,3.3081097314e-03,3.3081057220e-03,3.3080987839e-03,3.3080880853e-03,3.3080716432e-03,3.3080463652e-03,3.3080075026e-03,3.3079477562e-03,3.3078559025e-03,3.3077146839e-03,3.3074975664e-03,3.3071637455e-03,3.3066504638e-03,3.3058611784e-03,3.3046473206e-03,3.3027801388e-03,3.2999071394e-03,3.2954844808e-03,3.2886715462e-03,3.2781653926e-03,3.2619382746e-03,3.2368162670e-03,3.1977934399e-03,3.1369072250e-03,3.0750263480e-03,3.0342978253e-03,3.0076289862e-03,2.9902154159e-03,2.9788628841e-03,2.9714683510e-03,2.9666543959e-03,2.9635214215e-03,2.9614828415e-03,2.9601565282e-03,2.9592936862e-03,2.9587323861e-03,2.9583672579e-03,2.9581297453e-03,2.9579752474e-03,2.9578747501e-03,2.9578093794e-03,2.9577668575e-03,2.9577391987e-03,2.9577212068e-03,2.9577095033e-03,2.9577019138e-03,2.9576975863e-03,2.9577030427e-03,2.9577568990e-03,2.9579409111e-03,2.9583026162e-03,2.9587884492e-03,2.9592946996e-03,2.9597417136e-03,2.9601713534e-03,2.9606944091e-03,2.9613305098e-03,2.9621036525e-03,2.9630430486e-03,2.9641842479e-03,2.9655705383e-03,2.9672546587e-03,2.9693009230e-03,2.9717878351e-03,2.9748113518e-03,2.9784889210e-03,2.9829644954e-03,2.9884147538e-03,2.9950568309e-03,3.0031578964e-03,3.0130471645e-03,3.0251310253e-03,3.0399124096e-03,3.0580159940e-03
