# time[s],voltage[V]
0.0000000000e+00,0.0000000000e+00
1.8096228891e-12,-4.2393993982e-04
4.3355467522e-12,-9.9371026691e-04
8.5422897620e-12,-1.8974412574e-03
1.4414183082e-11,-3.0911706772e-03
2.3204262624e-11,-4.7870438324e-03
3.7843502628e-11,-7.4899351823e-03
5.8277376387e-11,-1.1158069558e-02
8.8866381651e-11,-1.6551547084e-02
1.3981015155e-10,-2.5357681505e-02
2.1091893607e-10,-3.7309380978e-02
3.2934545974e-10,-5.6369085735e-02
4.9464861985e-10,-8.1302102960e-02
7.4210337535e-10,-1.1527393420e-01
9.9627684123e-10,-1.4639334456e-01
1.3371235039e-09,-1.8285161352e-01
1.6670671135e-09,-2.1315315024e-01
2.1559879959e-09,-2.5049588945e-01
2.6874981653e-09,-2.8275398579e-01
3.3498415524e-09,-3.1353706177e-01
4.3313229447e-09,-3.4527300168e-01
6.2518328506e-09,-3.7866977755e-01
9.3604662382e-09,-3.9757073565e-01
1.4537669702e-08,-4.0365706168e-01
2.1764159736e-08,-4.0443925791e-01
3.3799354809e-08,-4.0450458914e-01
5.0598427488e-08,-4.0453092054e-01
7.5746225143e-08,-4.0456918664e-01
1.1762805838e-07,-4.0463217899e-01
1.7608793012e-07,-4.0471891215e-01
2.6360091692e-07,-4.0484677564e-01
4.0934744984e-07,-4.0505582519e-01
6.1278466744e-07,-4.0534160318e-01
9.5159459974e-07,-4.0580600886e-01
1.4245152830e-06,-4.0643570623e-01
2.1324658869e-06,-4.0734616013e-01
3.3115062760e-06,-4.0879228054e-01
4.9572448840e-06,-4.1068900268e-01
7.4208750080e-06,-4.1330996232e-01
1.1523872313e-05,-4.1721478121e-01
1.7250954384e-05,-4.2194454614e-01
2.5824255055e-05,-4.2792549586e-01
4.0102465573e-05,-4.3597460735e-01
6.0032403952e-05,-4.4466768745e-01
9.3224270969e-05,-4.5501062968e-01
1.3955443703e-04,-4.6418184372e-01
2.0890955346e-04,-4.7195849936e-01
3.2441547011e-04,-4.7869183647e-01
4.8564196264e-04,-4.8414175931e-01
7.2699404728e-04,-4.8971168581e-01
1.1289484410e-03,-4.9629252273e-01
1.6900079861e-03,-5.0295581857e-01
2.6244119694e-03,-5.1119143462e-01
3.9286800207e-03,-5.1998181168e-01
5.8811371398e-03,-5.3038413556e-01
9.1328128761e-03,-5.4415927054e-01
1.3671595728e-02,-5.5964034549e-01
2.0466041764e-02,-5.7843708226e-01
3.1781698891e-02,-6.0286678935e-01
4.7576419734e-02,-6.2732626317e-01
7.1220727453e-02,-6.4953663779e-01
1.1059860723e-01,-6.6587583968e-01
1.6556338847e-01,-6.7337483365e-01
2.5710324547e-01,-6.7696688760e-01
3.8487722016e-01,-6.7856521967e-01
5.7615171029e-01,-6.7964084972e-01
8.9470550205e-01,-6.8071180382e-01
1.3393520796e+00,-6.8181313922e-01
2.0049770444e+00,-6.8320586145e-01
3.1135271511e+00,-6.8534647446e-01
4.6608733880e+00,-6.8829615802e-01
7.2378663296e+00,-6.9335259230e-01
1.0834907462e+01,-7.0076657875e-01
1.6219589360e+01,-7.1248615240e-01
2.5187386555e+01,-7.3313902977e-01
3.7704896733e+01,-7.6353218063e-01
5.0562273185e+01,-7.9609548319e-01
6.3008365990e+01,-8.2861378006e-01
7.5690476457e+01,-8.6254962280e-01
8.7650754043e+01,-8.9514393732e-01
1.0150094231e+02,-9.3344483413e-01
1.1330677728e+02,-9.6645058648e-01
1.2648577919e+02,-1.0035736173e+00
1.3611278158e+02,-1.0308151787e+00
1.4647250804e+02,-1.0601935945e+00
1.6350910118e+02,-1.1085233006e+00
1.7595399829e+02,-1.1437848667e+00
1.8252726416e+02,-1.1624083804e+00
1.9641965918e+02,-1.2018718067e+00
2.1136942303e+02,-1.2447034669e+00
2.1926573359e+02,-1.2674999875e+00
2.3595434282e+02,-1.3158701168e+00
2.4476909351e+02,-1.3413968177e+00
2.5391314449e+02,-1.3677737782e+00
2.6339879769e+02,-1.3949566763e+00
2.8344643365e+02,-1.4514422093e+00
2.9403538751e+02,-1.4804679623e+00
3.0501992208e+02,-1.5096658330e+00
3.1641481543e+02,-1.5385440936e+00
3.2823539767e+02,-1.5663026508e+00
3.4049757164e+02,-1.5917642805e+00
3.6641329875e+02,-1.6305244443e+00
4.2431232343e+02,-1.6575035469e+00
6.5891424702e+02,-1.6604209886e+00
9.8637838373e+02,-1.6604212374e+00
1.4765841235e+03,-1.6604212375e+00
2.2929862325e+03,-1.6604212375e+00
3.4325438615e+03,-1.6604212375e+00
5.3303944501e+03,-1.6604212374e+00
7.9794690827e+03,-1.6604212374e+00
1.1945068501e+04,-1.6604212374e+00
1.8549486739e+04,-1.6604212374e+00
2.7768124353e+04,-1.6604212374e+00
3.8768124353e+04,-1.6604212374e+00
5.0768124353e+04,-1.6604212374e+00
6.1768124353e+04,-1.6604212374e+00
7.3768124353e+04,-1.6604212374e+00
8.4768124353e+04,-1.6604212374e+00
9.5768124353e+04,-1.6604212374e+00
1.0776812435e+05,-1.6604212374e+00
1.1876812435e+05,-1.6604212374e+00
1.2976812435e+05,-1.6604212374e+00
1.4176812435e+05,-1.6604212374e+00
1.5276812435e+05,-1.6604212374e+00
1.6376812435e+05,-1.6604212374e+00
1.7576812435e+05,-1.6604212374e+00
1.8676812435e+05,-1.6604212373e+00
1.9876812435e+05,-1.6604212373e+00
2.0976812435e+05,-1.6604212373e+00
2.2076812435e+05,-1.6604212373e+00
2.3276812435e+05,-1.6604212373e+00
2.4376812435e+05,-1.6604212373e+00
2.5476812435e+05,-1.6604212373e+00
2.6676812435e+05,-1.6604212373e+00
2.7776812435e+05,-1.6604212373e+00
2.8976812435e+05,-1.6604212373e+00
3.0076812435e+05,-1.6604212374e+00
3.1176812435e+05,-1.6604212374e+00
3.2376812435e+05,-1.6604212374e+00
3.3476812435e+05,-1.6604212373e+00
3.4576812435e+05,-1.6604212373e+00
3.5776812435e+05,-1.6604212373e+00
3.6876812435e+05,-1.6604212373e+00
3.7976812435e+05,-1.6604212373e+00
3.9176812435e+05,-1.6604212373e+00
4.0276812435e+05,-1.6604212374e+00
4.1476812435e+05,-1.6604212374e+00
4.2576812435e+05,-1.6604212374e+00
4.3676812435e+05,-1.6604212374e+00
4.4876812435e+05,-1.6604212374e+00
4.5976812435e+05,-1.6604212374e+00
4.7076812435e+05,-1.6604212374e+00
4.8276812435e+05,-1.6604212374e+00
4.9376812435e+05,-1.6604212374e+00
5.0576812435e+05,-1.6604212374e+00
5.1676812435e+05,-1.6604212374e+00
5.2776812435e+05,-1.6604212374e+00
5.3976812435e+05,-1.6604212374e+00
5.5076812435e+05,-1.6604212374e+00
5.6176812435e+05,-1.6604212374e+00
5.7376812435e+05,-1.6604212374e+00
5.8476812435e+05,-1.6604212374e+00
5.9576812435e+05,-1.6604212374e+00
6.0776812435e+05,-1.6604212374e+00
6.1876812435e+05,-1.6604212374e+00
6.3076812435e+05,-1.6604212374e+00
6.4176812435e+05,-1.6604212374e+00
6.5276812435e+05,-1.6604212373e+00
6.6476812435e+05,-1.6604212373e+00
6.7576812435e+05,-1.6604212373e+00
6.8676812435e+05,-1.6604212373e+00
6.9876812435e+05,-1.6604212374e+00
7.0976812435e+05,-1.6604212374e+00
7.2176812435e+05,-1.6604212374e+00
7.3276812435e+05,-1.6604212374e+00
7.4376812435e+05,-1.6604212374e+00
7.5576812435e+05,-1.6604212374e+00
7.6676812435e+05,-1.6604212374e+00
7.7776812435e+05,-1.6604212374e+00
7.8976812435e+05,-1.6604212374e+00
8.0076812435e+05,-1.6604212374e+00
8.1176812435e+05,-1.6604212374e+00
8.2376812435e+05,-1.6604212374e+00
8.3476812435e+05,-1.6604212374e+00
8.4676812435e+05,-1.6604212374e+00
8.5776812435e+05,-1.6604212374e+00
8.6876812435e+05,-1.6604212374e+00
8.8076812435e+05,-1.6604212374e+00
8.9176812435e+05,-1.6604212374e+00
9.0276812435e+05,-1.6604212374e+00
9.1476812435e+05,-1.6604212373e+00
9.2576812435e+05,-1.6604212374e+00
9.3776812435e+05,-1.6604212374e+00
9.4876812435e+05,-1.6604212374e+00
9.5976812435e+05,-1.6604212374e+00
9.7176812435e+05,-1.6604212374e+00
9.8276812435e+05,-1.6604212374e+00
9.9376812435e+05,-1.6604212374e+00
1.0057681244e+06,-1.6604212374e+00
1.0167681244e+06,-1.6604212374e+00
1.0277681244e+06,-1.6604212374e+00
