# freq[/s],z_re[ohm],z_im[ohm]
1.0000000000e-05,1.1745907310e+01,-1.8323446786e-03
1.2589254118e-05,1.1745611104e+01,-2.1454902935e-03
1.5848931925e-05,1.1745232297e+01,-2.4466465788e-03
1.9952623150e-05,1.1744780620e+01,-2.7101533272e-03
2.5118864315e-05,1.1744279250e+01,-2.9192323329e-03
3.1622776602e-05,1.1743755490e+01,-3.0733699907e-03
3.9810717055e-05,1.1743228424e+01,-3.1857432730e-03
5.0118723363e-05,1.1742703538e+01,-3.2720975837e-03
6.3095734448e-05,1.1742178262e+01,-3.3407565008e-03
7.9432823472e-05,1.1741652249e+01,-3.3920845738e-03
1.0000000000e-04,1.1741132360e+01,-3.4265161891e-03
1.2589254118e-04,1.1740627992e+01,-3.4523501458e-03
1.5848931925e-04,1.1740142017e+01,-3.4853851257e-03
1.9952623150e-04,1.1739666289e+01,-3.5410366435e-03
2.5118864315e-04,1.1739185287e+01,-3.6262780497e-03
3.1622776602e-04,1.1738684082e+01,-3.7374143235e-03
3.9810717055e-04,1.1738154554e+01,-3.8638518138e-03
5.0118723363e-04,1.1737596974e+01,-3.9939408121e-03
6.3095734448e-04,1.1737018532e+01,-4.1176658064e-03
7.9432823472e-04,1.1736430369e+01,-4.2284219943e-03
1.0000000000e-03,1.1735854831e+01,-4.3245267876e-03
1.2589254118e-03,1.1735323265e+01,-4.4054771214e-03
1.5848931925e-03,1.1734874394e+01,-4.4996920815e-03
1.9952623150e-03,1.1734567092e+01,-4.6623207201e-03
2.5118864315e-03,1.1734435294e+01,-4.9830125671e-03
3.1622776602e-03,1.1734470572e+01,-5.6178488184e-03
3.9810717055e-03,1.1734605571e+01,-6.7285734906e-03
5.0118723363e-03,1.1734663961e+01,-8.4466090743e-03
6.3095734448e-03,1.1734405610e+01,-1.0838463007e-02
7.9432823472e-03,1.1733606264e+01,-1.3833329500e-02
1.0000000000e-02,1.1732091287e+01,-1.7277789006e-02
1.2589254118e-02,1.1729783460e+01,-2.1009051327e-02
1.5848931925e-02,1.1726693044e+01,-2.4856477813e-02
1.9952623150e-02,1.1722875665e+01,-2.8702324473e-02
2.5118864315e-02,1.1718413031e+01,-3.2506724127e-02
3.1622776602e-02,1.1713377182e+01,-3.6258614734e-02
3.9810717055e-02,1.1707802193e+01,-3.9974838081e-02
5.0118723363e-02,1.1701706705e+01,-4.3700088473e-02
6.3095734448e-02,1.1695089648e+01,-4.7456048811e-02
7.9432823472e-02,1.1687917770e+01,-5.1254755784e-02
1.0000000000e-01,1.1680164634e+01,-5.5118776548e-02
1.2589254118e-01,1.1671801811e+01,-5.9026670756e-02
1.5848931925e-01,1.1662775185e+01,-6.2946029874e-02
1.9952623150e-01,1.1653070246e+01,-6.6840326900e-02
2.5118864315e-01,1.1642672893e+01,-7.0639036092e-02
3.1622776602e-01,1.1631596210e+01,-7.4274522704e-02
3.9810717055e-01,1.1619866295e+01,-7.7671826515e-02
5.0118723363e-01,1.1607521696e+01,-8.0771676586e-02
6.3095734448e-01,1.1594639158e+01,-8.3496329066e-02
7.9432823472e-01,1.1581292281e+01,-8.5801008783e-02
1.0000000000e+00,1.1567591069e+01,-8.7628254807e-02
1.2589254118e+00,1.1553614172e+01,-8.8952058504e-02
1.5848931925e+00,1.1539516406e+01,-8.9800204195e-02
1.9952623150e+00,1.1525427941e+01,-9.0133385661e-02
2.5118864315e+00,1.1511378377e+01,-9.0030811233e-02
3.1622776602e+00,1.1497572796e+01,-8.9583526025e-02
3.9810717055e+00,1.1484097642e+01,-8.8785809513e-02
5.0118723363e+00,1.1470906112e+01,-8.7834161848e-02
6.3095734448e+00,1.1458198989e+01,-8.6845954092e-02
7.9432823472e+00,1.1445968547e+01,-8.5835791999e-02
1.0000000000e+01,1.1434101773e+01,-8.5095114894e-02
1.2589254118e+01,1.1422759649e+01,-8.4738048156e-02
1.5848931925e+01,1.1411835342e+01,-8.4788430004e-02
1.9952623150e+01,1.1401150072e+01,-8.5623131362e-02
2.5118864315e+01,1.1390834545e+01,-8.7347323144e-02
3.1622776602e+01,1.1380677381e+01,-9.0000109102e-02
3.9810717055e+01,1.1370441695e+01,-9.4089056768e-02
5.0118723363e+01,1.1360200453e+01,-9.9710940834e-02
6.3095734448e+01,1.1349599110e+01,-1.0697651888e-01
7.9432823472e+01,1.1338333836e+01,-1.1656661074e-01
1.0000000000e+02,1.1326277410e+01,-1.2861038256e-01
1.2589254118e+02,1.1312822972e+01,-1.4333192412e-01
