# time[s],voltage[V]
0.0000000000e+00,-2.5530154805e-02
2.5493183208e-10,-1.5540026262e-01
6.2940539045e-10,-3.1766911188e-01
1.1202810143e-09,-4.8812416932e-01
1.9005310276e-09,-6.8472699663e-01
2.9233154231e-09,-8.4878334439e-01
4.5490379066e-09,-9.8562323392e-01
6.6801030256e-09,-1.0583745773e+00
1.0067444965e-08,-1.0913316625e+00
1.4507714646e-08,-1.0989113682e+00
2.1565552333e-08,-1.1001070736e+00
3.0817261567e-08,-1.1001978925e+00
4.5522913880e-08,-1.1002429449e+00
6.4799698827e-08,-1.1002969082e+00
9.5440274529e-08,-1.1003773142e+00
1.4044871981e-07,-1.1004866202e+00
1.9944767489e-07,-1.1006190338e+00
2.9322689973e-07,-1.1008137257e+00
4.1615663527e-07,-1.1010520792e+00
6.1155425360e-07,-1.1014104674e+00
8.6768963524e-07,-1.1018607972e+00
1.2748184989e-06,-1.1025534945e+00
1.8085000646e-06,-1.1034381299e+00
2.6567904025e-06,-1.1048137261e+00
3.7687649049e-06,-1.1065833910e+00
5.5362556466e-06,-1.1093490785e+00
7.8531565358e-06,-1.1129176166e+00
1.1535885647e-05,-1.1184964431e+00
1.6363361204e-05,-1.1256667612e+00
2.4036665163e-05,-1.1367391031e+00
3.5308107471e-05,-1.1521821285e+00
5.0083186114e-05,-1.1706361164e+00
7.3568270215e-05,-1.1950907314e+00
1.0435350204e-04,-1.2180285116e+00
1.5328682931e-04,-1.2382287352e+00
2.1743068408e-04,-1.2487179501e+00
3.1938776061e-04,-1.2533579434e+00
4.5303736663e-04,-1.2549873144e+00
6.6547428920e-04,-1.2563629257e+00
9.4394550446e-04,-1.2577863883e+00
1.3865773217e-03,-1.2596515132e+00
1.9667976459e-03,-1.2616717563e+00
2.8890616445e-03,-1.2643200381e+00
4.2437903911e-03,-1.2675018446e+00
6.0196255701e-03,-1.2709483679e+00
8.8423271973e-03,-1.2754702233e+00
1.2542442709e-02,-1.2803734223e+00
1.8423800506e-02,-1.2868117423e+00
2.6133330626e-02,-1.2937930095e+00
3.8387679156e-02,-1.3029416583e+00
5.4451192439e-02,-1.3128069955e+00
7.9984251824e-02,-1.3255744676e+00
1.1345405543e-01,-1.3390078097e+00
1.6665452708e-01,-1.3556531209e+00
2.3639193343e-01,-1.3721721664e+00
3.4723999676e-01,-1.3916486778e+00
4.9254428065e-01,-1.4108348469e+00
7.2350638988e-01,-1.4346647697e+00
1.0627704284e+00,-1.4632577624e+00
1.5074919389e+00,-1.4957739102e+00
2.2143796874e+00,-1.5422781602e+00
3.1409977537e+00,-1.5981985442e+00
4.6138632281e+00,-1.6769945906e+00
6.5445569778e+00,-1.7635062609e+00
9.6134073155e+00,-1.8814870847e+00
1.3636184866e+01,-2.0295649703e+00
2.0030416083e+01,-2.2624661580e+00
2.8412242162e+01,-2.5693071432e+00
3.7580100484e+01,-2.8448742359e+00
4.6349735387e+01,-3.1528625304e+00
5.9199513105e+01,-3.3673811993e+00
6.8083888144e+01,-3.6922476291e+00
7.8301586984e+01,-4.0392566034e+00
8.3971840388e+01,-4.4486699064e+00
8.6959137842e+01,-4.7384860961e+00
9.6573925837e+01,-4.8727790905e+00
1.2334761656e+02,-5.1872778473e+00
1.7496303308e+02,-5.1977373384e+00
2.5700607510e+02,-5.1977495264e+00
3.6455153067e+02,-5.1977334605e+00
5.3549573540e+02,-5.1977152303e+00
7.5957655836e+02,-5.1976982988e+00
1.1157544915e+03,-5.1976794008e+00
1.5826474434e+03,-5.1976620477e+00
2.3247768431e+03,-5.1976428293e+00
3.2975911416e+03,-5.1976252770e+00
4.8438858293e+03,-5.1976059098e+00
7.1152635119e+03,-5.1975865015e+00
1.0092680507e+04,-5.1975688348e+00
1.4825304286e+04,-5.1975493860e+00
2.1029025746e+04,-5.1975316972e+00
3.0889881565e+04,-5.1975122355e+00
4.3815904359e+04,-5.1974945423e+00
6.4361902100e+04,-5.1974750804e+00
9.1294456435e+04,-5.1974573906e+00
1.3410392763e+05,-5.1974379353e+00
1.9022037540e+05,-5.1974202536e+00
2.7941783601e+05,-5.1974008083e+00
3.9634160310e+05,-5.1973831353e+00
5.8219269532e+05,-5.1973637025e+00
7.8219269532e+05,-5.1973460398e+00
