# freq[/s],z_re[ohm],z_im[ohm]
1.5848931925e+05,3.5400299532e+00,-9.6592299036e-03
1.9952623150e+05,3.5399488537e+00,-1.0516464108e-02
2.5118864315e+05,3.5405946386e+00,-1.1288680459e-02
3.1622776602e+05,3.5406701766e+00,-1.2922387967e-02
3.9810717055e+05,3.5414776882e+00,-1.5784477458e-02
5.0118723363e+05,3.5422008574e+00,-1.9320189485e-02
6.3095734448e+05,3.5430146988e+00,-2.4549645197e-02
7.9432823472e+05,3.5437727724e+00,-3.1130367807e-02
1.0000000000e+06,3.5446938033e+00,-3.9931636237e-02
1.2589254118e+06,3.5456703237e+00,-5.1375215291e-02
1.5848931925e+06,3.5463794473e+00,-6.6066042077e-02
1.9952623150e+06,3.5467374556e+00,-8.4746168592e-02
2.5118864315e+06,3.5464676961e+00,-1.0847547331e-01
3.1622776602e+06,3.5452155596e+00,-1.3827723954e-01
3.9810717055e+06,3.5426039616e+00,-1.7568115755e-01
5.0118723363e+06,3.5377816885e+00,-2.2242866511e-01
6.3095734448e+06,3.5297005444e+00,-2.8081078268e-01
7.9432823472e+06,3.5165671242e+00,-3.5343491950e-01
1.0000000000e+07,3.4956446376e+00,-4.4327698505e-01
1.2589254118e+07,3.4628192377e+00,-5.5349488881e-01
1.5848931925e+07,3.4119621728e+00,-6.8686965577e-01
1.9952623150e+07,3.3344998423e+00,-8.4482775282e-01
2.5118864315e+07,3.2191560273e+00,-1.0256756362e+00
3.1622776602e+07,3.0528960024e+00,-1.2222154357e+00
3.9810717055e+07,2.8238140900e+00,-1.4191877203e+00
5.0118723363e+07,2.5266178697e+00,-1.5925991314e+00
6.3095734448e+07,2.1691073185e+00,-1.7134962484e+00
7.9432823472e+07,1.7755314689e+00,-1.7570859937e+00
1.0000000000e+08,1.3819275755e+00,-1.7134321909e+00
1.2589254118e+08,1.0244183540e+00,-1.5924347703e+00
1.5848931925e+08,7.2728669422e-01,-1.4188549336e+00
1.9952623150e+08,4.9837877006e-01,-1.2217621762e+00
2.5118864315e+08,3.3240200281e-01,-1.0251771656e+00
3.1622776602e+08,2.1736761260e-01,-8.4441939651e-01
3.9810717055e+08,1.4021005274e-01,-6.8671613517e-01
5.0118723363e+08,8.9586012613e-02,-5.5372394879e-01
6.3095734448e+08,5.6886017965e-02,-4.4400836135e-01
7.9432823472e+08,3.5959531798e-02,-3.5475848953e-01
1.0000000000e+09,2.2665667163e-02,-2.8280553047e-01
