# freq[/s],z_re[ohm],z_im[ohm]
1.0000000000e-05,5.4098496456e+00,-2.0389843806e-04
1.2589254118e-05,5.4098467026e+00,-2.5648711838e-04
1.5848931925e-05,5.4098420685e+00,-3.2249120686e-04
1.9952623150e-05,5.4098347983e+00,-4.0519311611e-04
2.5118864315e-05,5.4098234552e+00,-5.0855281430e-04
3.1622776602e-05,5.4098059027e+00,-6.3724573238e-04
3.9810717055e-05,5.4097790613e+00,-7.9663134654e-04
5.0118723363e-05,5.4097386699e+00,-9.9263322170e-04
6.3095734448e-05,5.4096791071e+00,-1.2315623467e-03
7.9432823472e-05,5.4095932497e+00,-1.5199839132e-03
1.0000000000e-04,5.4094721636e+00,-1.8646788624e-03
1.2589254118e-04,5.4093042991e+00,-2.2723872413e-03
1.5848931925e-04,5.4090743172e+00,-2.7484781078e-03
1.9952623150e-04,5.4087628474e+00,-3.2938173150e-03
2.5118864315e-04,5.4083493822e+00,-3.9007243964e-03
3.1622776602e-04,5.4078193763e+00,-4.5514178790e-03
3.9810717055e-04,5.4071727355e+00,-5.2232452984e-03
5.0118723363e-04,5.4064265639e+00,-5.9012417600e-03
6.3095734448e-04,5.4056061546e+00,-6.5906980911e-03
7.9432823472e-04,5.4047278299e+00,-7.3185871090e-03
1.0000000000e-03,5.4037866764e+00,-8.1207938783e-03
1.2589254118e-03,5.4027589535e+00,-9.0254120589e-03
1.5848931925e-03,5.4016153016e+00,-1.0045619863e-02
1.9952623150e-03,5.4003318172e+00,-1.1185386949e-02
2.5118864315e-03,5.3988907100e+00,-1.2448987947e-02
3.1622776602e-03,5.3972747100e+00,-1.3844348550e-02
3.9810717055e-03,5.3954641715e+00,-1.5380786356e-02
5.0118723363e-03,5.3934377394e+00,-1.7067956002e-02
6.3095734448e-03,5.3911715791e+00,-1.8916469309e-02
7.9432823472e-03,5.3886379493e+00,-2.0936108577e-02
1.0000000000e-02,5.3858069715e+00,-2.3133782297e-02
1.2589254118e-02,5.3826482326e+00,-2.5515154055e-02
1.5848931925e-02,5.3791282936e+00,-2.8085521713e-02
1.9952623150e-02,5.3752096190e+00,-3.0846119401e-02
2.5118864315e-02,5.3708544065e+00,-3.3792312072e-02
3.1622776602e-02,5.3660257477e+00,-3.6916473491e-02
3.9810717055e-02,5.3606842340e+00,-4.0206918219e-02
5.0118723363e-02,5.3547897751e+00,-4.3642277452e-02
6.3095734448e-02,5.3483079006e+00,-4.7192142329e-02
7.9432823472e-02,5.3412090846e+00,-5.0821478424e-02
1.0000000000e-01,5.3334657497e+00,-5.4486805779e-02
1.2589254118e-01,5.3250591431e+00,-5.8131283329e-02
1.5848931925e-01,5.3159864300e+00,-6.1690926203e-02
1.9952623150e-01,5.3062565677e+00,-6.5099943338e-02
2.5118864315e-01,5.2958895302e+00,-6.8285246397e-02
3.1622776602e-01,5.2849265215e+00,-7.1167524820e-02
3.9810717055e-01,5.2734312866e+00,-7.3674018949e-02
5.0118723363e-01,5.2614805714e+00,-7.5741497077e-02
6.3095734448e-01,5.2491653186e+00,-7.7311110710e-02
7.9432823472e-01,5.2365976369e+00,-7.8336267519e-02
1.0000000000e+00,5.2239009820e+00,-7.8795772469e-02
1.2589254118e+00,5.2111971876e+00,-7.8688017782e-02
1.5848931925e+00,5.1986104437e+00,-7.8026443373e-02
1.9952623150e+00,5.1862663376e+00,-7.6848964974e-02
2.5118864315e+00,5.1742752195e+00,-7.5218613898e-02
3.1622776602e+00,5.1627306090e+00,-7.3211597880e-02
